dv,direction,shapiro_w,shapiro_p,test,stat,p,cohens_d_paired,rubric_mean,ml_mean,mean_diff_ml_minus_rubric,p_holm
total_runtime_s,lower_is_better,0.8997471019890345,0.21769946934259793,paired_t,49.08571464404976,3.0314506228797866e-12,15.522265885227842,24.365449460130186,85.57543673012405,61.209987269993874,9.09435186863936e-12
cases_per_s,higher_is_better,0.9181786486976087,0.34201431201018073,paired_t,-45.478469537305976,6.010406017420082e-12,-14.381554823647086,55.757808991072544,15.870492327742776,-39.88731666332976,1.2020812034840104e-11
emails_per_s,higher_is_better,0.918178648697609,0.3420143120101835,paired_t,-45.478469537306005,6.010406017420052e-12,-14.381554823647097,21322.313652609704,6069.026408258767,-15253.287244350937,1.2020812034840104e-11
